low,high,dur_label,vol_at_bucket,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.1,≤24h,<$1K,EXP_HIGH+MID ≥80%,49,0.2857142857142857,1.8571428571428568,29,0.20689655172413793,1.068965517241379,0.1,true,false
0.05,0.1,≤24h,<$1K,FRESH+NEW+SEMI ≥50% (fade),182,0.17582417582417584,0.7582417582417582,58,0.22413793103448276,1.2413793103448274,0.1,true,false
0.05,0.1,≤24h,$1K-10K,baseline,354,0.11864406779661017,0.18644067796610164,197,0.050761421319796954,-0.4923857868020305,0.1,false,false
0.05,0.1,≤24h,$1K-10K,EXP_HIGH+MID ≥50%,90,0.08888888888888889,-0.11111111111111116,55,0.07272727272727272,-0.2727272727272728,0.1,false,true
0.05,0.1,≤24h,$1K-10K,EXP_HIGH+MID ≥80%,69,0.08695652173913043,-0.13043478260869568,42,0.09523809523809523,-0.04761904761904767,0.1,false,true
0.05,0.1,≤24h,$1K-10K,nw≥4 + EXP_HIGH+MID ≥50%,21,0.047619047619047616,-0.5238095238095238,16,0.0,-1.0,0.1,false,true
0.05,0.1,≤24h,$1K-10K,FRESH+NEW+SEMI ≥50% (fade),138,0.10144927536231885,0.01449275362318847,67,0.04477611940298507,-0.5522388059701493,0.1,false,false
0.05,0.1,≤24h,$10K-100K,baseline,1701,0.102880658436214,0.028806584362139898,737,0.10719131614654002,0.07191316146540028,0.1,true,false
0.05,0.1,≤24h,$10K-100K,EXP_HIGH+MID ≥50%,316,0.17088607594936708,0.7088607594936707,217,0.17511520737327188,0.7511520737327186,0.1,true,false
0.05,0.1,≤24h,$10K-100K,EXP_HIGH+MID ≥80%,226,0.20353982300884957,1.0353982300884956,166,0.16265060240963855,0.6265060240963853,0.1,true,false
0.05,0.1,≤24h,$10K-100K,nw≥4 + EXP_HIGH+MID ≥50%,110,0.1,0.0,76,0.17105263157894737,0.7105263157894737,0.1,false,false
0.05,0.1,≤24h,$10K-100K,FRESH+NEW+SEMI ≥50% (fade),808,0.07549504950495049,-0.24504950495049516,258,0.05426356589147287,-0.45736434108527135,0.1,false,true
0.05,0.1,≤24h,$100K-1M,baseline,857,0.07234539089848308,-0.27654609101516925,488,0.08401639344262295,-0.1598360655737706,0.1,false,true
0.05,0.1,≤24h,$100K-1M,EXP_HIGH+MID ≥50%,148,0.07432432432432433,-0.2567567567567568,171,0.1111111111111111,0.11111111111111094,0.1,false,false
0.05,0.1,≤24h,$100K-1M,EXP_HIGH+MID ≥80%,89,0.0898876404494382,-0.101123595505618,125,0.08,-0.20000000000000007,0.1,false,true
0.05,0.1,≤24h,$100K-1M,nw≥4 + EXP_HIGH+MID ≥50%,89,0.07865168539325842,-0.2134831460674158,90,0.15555555555555556,0.5555555555555556,0.1,false,false
0.05,0.1,≤24h,$100K-1M,FRESH+NEW+SEMI ≥50% (fade),413,0.07263922518159806,-0.27360774818401945,144,0.034722222222222224,-0.6527777777777778,0.1,false,true
0.05,0.1,≤24h,>$1M,baseline,126,0.03968253968253968,-0.6031746031746033,137,0.18248175182481752,0.8248175182481752,0.1,false,false
0.05,0.1,≤24h,>$1M,EXP_HIGH+MID ≥50%,16,0.125,0.25,40,0.25,1.5,0.1,true,false
0.05,0.1,≤24h,>$1M,EXP_HIGH+MID ≥80%,9,0.1111111111111111,0.11111111111111094,30,0.26666666666666666,1.6666666666666665,0.1,true,false
0.05,0.1,≤24h,>$1M,nw≥4 + EXP_HIGH+MID ≥50%,11,0.09090909090909091,-0.09090909090909094,23,0.34782608695652173,2.4782608695652173,0.1,false,false
0.05,0.1,≤24h,>$1M,FRESH+NEW+SEMI ≥50% (fade),70,0.04285714285714286,-0.5714285714285714,48,0.08333333333333333,-0.16666666666666674,0.1,false,true
0.05,0.1,all,all,baseline,3619,0.09947499309201437,-0.005250069079856368,1743,0.10613884107860011,0.06138841078600099,0.1,false,false
0.05,0.1,all,all,EXP_HIGH+MID ≥50%,675,0.1362962962962963,0.36296296296296293,537,0.14711359404096835,0.47113594040968354,0.1,true,false
0.05,0.1,all,all,EXP_HIGH+MID ≥80%,466,0.1609442060085837,0.6094420600858368,404,0.13861386138613863,0.38613861386138626,0.1,true,false
0.05,0.1,all,all,nw≥4 + EXP_HIGH+MID ≥50%,268,0.08208955223880597,-0.17910447761194037,225,0.1688888888888889,0.6888888888888889,0.1,false,false
0.05,0.1,all,all,FRESH+NEW+SEMI ≥50% (fade),1711,0.08416130917592052,-0.15838690824079482,592,0.06925675675675676,-0.30743243243243246,0.1,false,true
0.05,0.1,all,<$1K,baseline,350,0.17714285714285713,0.7714285714285711,128,0.1953125,0.953125,0.1,true,false
0.05,0.1,all,<$1K,EXP_HIGH+MID ≥50%,57,0.2631578947368421,1.6315789473684208,30,0.2,1.0,0.1,true,false
0.05,0.1,all,<$1K,EXP_HIGH+MID ≥80%,49,0.2857142857142857,1.8571428571428568,29,0.20689655172413793,1.068965517241379,0.1,true,false
0.05,0.1,all,<$1K,FRESH+NEW+SEMI ≥50% (fade),191,0.17277486910994763,0.7277486910994762,61,0.21311475409836064,1.1311475409836063,0.1,true,false
0.05,0.1,all,$1K-10K,baseline,411,0.11678832116788321,0.16788321167883202,208,0.04807692307692308,-0.5192307692307692,0.1,false,false
0.05,0.1,all,$1K-10K,EXP_HIGH+MID ≥50%,106,0.08490566037735849,-0.15094339622641517,62,0.06451612903225806,-0.3548387096774194,0.1,false,true
