low,high,dur_label,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.25,≤24h,FRESH+NEW+SEMI ≥50% (fade),440,0.19090909090909092,-0.23636363636363633,172,0.1686046511627907,-0.32558139534883723,0.25,false,true
0.05,0.25,all,baseline,1213,0.22588623248145095,-0.09645507007419618,610,0.21639344262295082,-0.13442622950819672,0.25,false,true
0.05,0.25,all,EXP_HIGH+MID ≥50%,250,0.288,0.1519999999999999,204,0.30392156862745096,0.21568627450980382,0.25,true,false
0.05,0.25,all,EXP_HIGH+MID ≥80%,132,0.3409090909090909,0.36363636363636354,104,0.34615384615384615,0.3846153846153846,0.25,true,false
0.05,0.25,all,nw≥4 + EXP_HIGH+MID ≥50%,148,0.23648648648648649,-0.05405405405405406,141,0.3049645390070922,0.21985815602836878,0.25,false,false
0.05,0.25,all,FRESH+NEW+SEMI ≥50% (fade),503,0.1908548707753479,-0.23658051689860837,181,0.1712707182320442,-0.3149171270718232,0.25,false,true
0.05,0.3,≤1h,baseline,558,0.2885304659498208,-0.03823178016726403,281,0.23487544483985764,-0.2170818505338078,0.3,false,true
0.05,0.3,≤1h,EXP_HIGH+MID ≥50%,112,0.39285714285714285,0.30952380952380953,82,0.3780487804878049,0.26016260162601634,0.3,true,false
0.05,0.3,≤1h,EXP_HIGH+MID ≥80%,70,0.4714285714285714,0.5714285714285714,52,0.4230769230769231,0.41025641025641035,0.3,true,false
0.05,0.3,≤1h,nw≥4 + EXP_HIGH+MID ≥50%,49,0.2857142857142857,-0.04761904761904767,50,0.42,0.3999999999999999,0.3,false,false
0.05,0.3,≤1h,FRESH+NEW+SEMI ≥50% (fade),248,0.2540322580645161,-0.15322580645161288,109,0.1651376146788991,-0.4495412844036697,0.3,false,true
0.05,0.3,≤6h,baseline,751,0.2756324900133156,-0.08122503328894803,398,0.23366834170854273,-0.2211055276381909,0.3,false,true
0.05,0.3,≤6h,EXP_HIGH+MID ≥50%,158,0.3670886075949367,0.22362869198312252,130,0.3384615384615385,0.12820512820512842,0.3,true,false
0.05,0.3,≤6h,EXP_HIGH+MID ≥80%,96,0.4166666666666667,0.38888888888888906,71,0.4084507042253521,0.3615023474178405,0.3,true,false
0.05,0.3,≤6h,nw≥4 + EXP_HIGH+MID ≥50%,76,0.27631578947368424,-0.07894736842105254,84,0.34523809523809523,0.15079365079365092,0.3,false,false
0.05,0.3,≤6h,FRESH+NEW+SEMI ≥50% (fade),320,0.246875,-0.17708333333333326,139,0.17266187050359713,-0.4244604316546762,0.3,false,true
0.05,0.3,≤24h,baseline,858,0.2668997668997669,-0.11033411033411022,466,0.2317596566523605,-0.22746781115879833,0.3,false,true
